ordinal,slug,make,model,year
2740,,Abarth,124 Spider,2017
2489,,Abarth,695 Biposto,2016
1124,,Abarth,Fiat 131,1980
2017,,Abarth,595 esseesse,1968
2352,,Acura,NSX,2017
422,,Acura,RSX Type-S,2002
368,,Acura,Integra Type-R,2001
2542,,Alfa Romeo,Giulia Quadrifoglio,2017
2038,,Alfa Romeo,4C,2014
1032,,Alfa Romeo,8C Competizione,2007
1393,,Alfa Romeo,155 Q4,1992
1549,,Alfa Romeo,33 Stradale,1968
1150,,Alfa Romeo,Giulia Sprint GTA Stradale,1965
2161,,Alfa Romeo,Giulia TZ2,1965
2973,,Alpine,A110,2017
1536,,Alpine,A110 1600s,1973
3693,,Alumicraft,Trick Truck #6165,2022
3549,,Alumicraft,Class 1 Buggy #122,2021
2552,,Alumicraft,Class 10 Race Car,2015
1482,,AMC,Gremlin X,1973
1267,,AMC,Javelin AMX,1971
1572,,AMC,Rebel The Machine,1970
2574,,AMG Transport Dynamics,M12S Warthog CST,2554
3141,,Apollo,Intensa Emozione,2018
3682,,Apollo,Intensa Emozione,2018
2430,,Ariel,Nomad,2016
3786,,Ariel,Atom 500 V8,2013
1451,,Ascari,KZ1R,2012
2968,,Aston Martin,Valkyrie,2023
3631,,Aston Martin,Valkyrie AMR Pro,2022
3580,,Aston Martin,DBX,2021
3185,,Aston Martin,DBS Superleggera,2019
3364,,Aston Martin,Valhalla Concept Car,2019
3091,,Aston Martin,Vantage,2019
2527,,Aston Martin,DB11,2017
3125,,Aston Martin,Vanquish Zagato Coupe,2017
3211,,Aston Martin,Vulcan AMR Pro,2017
2493,,Aston Martin,Vantage GT12,2015
1651,,Aston Martin,V12 Vantage S,2013
1181,,Aston Martin,One-77,2010
1081,,Aston Martin,DBS,2008
3274,,Aston Martin,Lagonda,1990
1105,,Aston Martin,DB5,1964
1386,,Aston Martin,DBR1,1958
3195,,ATS,GT,2018
3583,,Audi,RS 6 Avant,2021
3584,,Audi,RS 7 Sportback,2021
3359,,Audi,RS e-tron GT,2021
3453,,Audi,RS 3 Sedan,2020
3454,,Audi,TT RS Coupe,2020
3318,,Audi,RS 4 Avant,2018
3264,,Audi,RS 5 Coupe,2018
3286,,Audi,TT RS,2018
2473,,Audi,R8 V10 plus,2016
2180,,Audi,RS 6 Avant,2015
2179,,Audi,S1,2015
2182,,Audi,TTS Coupe,2015
2181,,Audi,R8 Coupe V10 plus,2013
2010,,Audi,RS 4 Avant,2013
1607,,Audi,RS 7 Sportback,2013
1216,,Audi,RS 3 Sportback,2011
1417,,Audi,RS 5 Coupe,2011
1220,,Audi,TT RS Coupe,2010
1184,,Audi,RS 6,2009
419,,Audi,RS 4,2006
420,,Audi,RS 6,2003
2178,,Audi,Avant RS 2,1995
1478,,Audi,Sport quattro S1 #2,1986
633,,Audi,Sport quattro,1983
1574,,Austin-Healey,Sprite MkI,1958
2096,,Auto Union,Type D,1939
3360,,Automobili Pininfarina,Battista,2020
3854,,Autozam,AZ-1,1993
2040,,BAC,Mono,2014
3728,,Bentley,Continental GT Convertible,2021
3588,,Bentley,Flying Spur,2021
2665,,Bentley,Continental Supersports,2017
2625,,Bentley,Bentayga,2016
3172,,Bentley,Turbo R,1991
2976,,Bentley,8 Litre,1930
1372,,Bentley,Blower 4-1/2 Litre,1930
3763,,BMW,M2,2023
3734,,BMW,i4 eDrive40,2022
3737,,BMW,iX xDrive50,2022
3764,,BMW,M5 CS,2022
3644,,BMW,M3 Competition Sedan,2021
3645,,BMW,M4 Competition Coupe,2021
3518,,BMW,M8 Competition Coupe,2020
3173,,BMW,Z4 Roadster,2019
3073,,BMW,M Motorsport M8 GTE #1,2018
3071,,BMW,M5,2018
2477,,BMW,M2 Coupe,2016
2628,,BMW,M4 GTS,2016
2133,,BMW,i8,2015
2431,,BMW,X6 M,2015
2154,,BMW,M4 Coupe,2014
2018,,BMW,M6 Coupe,2013
1385,,BMW,1 Series M Coupe,2011
1350,,BMW,X5 M,2011
3556,,BMW,X5 M Forza Edition,2011
1598,,BMW,M3 GTS,2010
1126,,BMW,M5,2009
1011,,BMW,M3,2008
1059,,BMW,Z4 M Coupe,2008
383,,BMW,M3,2005
1367,,BMW,M5,2003
565,,BMW,M3-GTR,2002
1268,,BMW,Z3 M Coupe,2002
382,,BMW,M3,1997
1493,,BMW,850CSi,1995
1418,,BMW,M5,1995
642,,BMW,M3,1991
1368,,BMW,M5,1988
1290,,BMW,M635CSi,1986
1040,,BMW,M1,1981
1269,,BMW,2002 Turbo,1973
2412,,BMW,Isetta 300 Export,1957
3285,,Brabham,BT62,2019
3168,,Bugatti,Divo,2019
2624,,Bugatti,Chiron,2018
1328,,Bugatti,Veyron Super Sport,2011
1219,,Bugatti,EB110 Super Sport,1992
2066,,Bugatti,Type 35 C,1926
1329,,Buick,Regal GNX,1987
417,,Buick,GSX,1970
3719,,Cadillac,CT4-V Blackwing,2022
3720,,Cadillac,CT5-V Blackwing,2022
2262,,Cadillac,ATS-V,2016
2421,,Cadillac,CTS-V Sedan,2016
3281,,Cadillac,Cadillac Racing ATS-V.R #3,2015
3242,,Cadillac,CTS-V Sport Wagon,2014
2128,,Cadillac,XTS Limousine,2013
2871,,Can-Am,Maverick X RS Turbo R,2018
3603,,Casey Currie Motorsports,Ultra 4 Trophy Jeep #4402,2019
1652,,Caterham,Superlight R500,2013
3771,,Chevrolet,Corvette E-Ray,2024
3766,,Chevrolet,Corvette Z06,2023
3490,,Chevrolet,Corvette Racing C8.R #3,2020
3369,,Chevrolet,Corvette Stingray Coupe,2020
3477,,Chevrolet,Silverado LT Trail Boss,2020
3118,,Chevrolet,Corvette ZR1,2019
3149,,Chevrolet,Camaro ZL1 1LE,2018
3163,,Chevrolet,Hot Wheels COPO Camaro,2018
2739,,Chevrolet,Camaro ZL1,2017
2847,,Chevrolet,Colorado ZR2,2017
2183,,Chevrolet,Camaro Z/28,2015
2177,,Chevrolet,Corvette Z06,2015
2130,,Chevrolet,Summit Racing Pro Stock Camaro,2013
1069,,Chevrolet,Corvette ZR1,2009
314,,Chevrolet,Corvette Z06,2002
1379,,Chevrolet,Impala Super Sport,1996
2006,,Chevrolet,Corvette ZR-1,1995
1575,,Chevrolet,Monte Carlo Super Sport,1988
1064,,Chevrolet,Camaro Z28,1979
1330,,Chevrolet,Camaro Z28,1970
299,,Chevrolet,Chevelle Super Sport 454,1970
315,,Chevrolet,Corvette ZR-1,1970
1291,,Chevrolet,El Camino Super Sport 454,1970
3972,,Chevrolet,Camaro Jordan Luka 3 Forza Edition,1969
289,,Chevrolet,Camaro Super Sport Coupe,1969
1429,,Chevrolet,Nova Super Sport 396,1969
312,,Chevrolet,Corvette Stingray 427,1967
1354,,Chevrolet,Nova Super Sport,1966
1300,,Chevrolet,Impala Super Sport 409,1964
1093,,Chevrolet,Corvette,1960
1459,,Chevrolet,Bel Air,1957
3808,,Chevrolet,Barbie Movie Corvette EV,1956
2507,,Chevrolet,150 Utility Sedan,1955
1564,,Chevrolet,Corvette,1953
3559,,Chevrolet,Corvette Forza Edition,1953
3508,,Citroen,BX4TC,1986
3746,,CUPRA,Formentor VZ5,2022
3747,,CUPRA,Tavascan Concept,2022
3748,,CUPRA,UrbanRebel Concept,2022
3757,,Czinger,21C,2024
1104,,Datsun,510,1970
3439,,DeBerti,Ford Super Duty F-250 Lariat,2019
3441,,DeBerti,Toyota Tacoma TRD,2019
3088,,DeBerti,Chevrolet Silverado 1500 Drift Truck,2018
3109,,DeBerti,F-150 Prerunner Truck,2018
3085,,DeBerti,Ford Mustang GT,2018
3110,,DeBerti,Wrangler Unlimited,2018
3896,,DeBerti,Chevrolet C10 Slayer,1965
3438,,DeBerti,Ford Econoline Shop Rod,1961
1270,delorean,DeLorean,DMC-12,1982
3959,,Dodge,Challenger SRT Super Stock,2022
3850,,Dodge,Durango SRT Hellcat,2021
2909,,Dodge,Challenger SRT Demon,2018
2839,,Dodge,Durango SRT,2018
2544,,Dodge,Viper ACR,2016
2263,,Dodge,Challenger SRT Hellcat,2015
2468,,Dodge,Charger SRT Hellcat,2015
3749,,Dodge,SRT Viper GTS Anniversary Edition,2013
1562,,Dodge,SRT Viper GTS,2013
3169,,Dodge,Magnum SRT8,2008
1046,,Dodge,Viper SRT10 ACR,2008
483,,Dodge,Viper GTS ACR,1999
639,,Dodge,Challenger R/T,1970
1352,,Dodge,Coronet Super Bee,1970
1063,,Dodge,Charger Daytona HEMI,1969
513,,Dodge,Charger R/T,1969
3561,,Dodge,Charger R/T Forza Edition,1969
1332,,Dodge,Dart HEMI Super Stock,1968
2105,,Donkervoort,D8 GTO,2013
2432,,DS Automobiles,DS 23,1975
1388,,Eagle,Speedster,2012
3334,,Elemental,RP1,2019
3089,,Exomotive,Exocet Off-Road,2018
3562,,Exomotive,Exocet Off-Road Forza Edition,2018
3708,,Extreme E,ABT Cupra XE #125,2022
3709,,Extreme E,JBXE #22,2022
3710,,Extreme E,Genesys Andretti United #23,2022
3711,,Extreme E,XITE Racing Team #42,2022
3712,,Extreme E,X44 #44,2022
3713,,Extreme E,Veloce Racing #5,2022
3714,,Extreme E,ACCIONA/Sainz XE Team #55,2022
3727,,Extreme E,McLaren Racing #58,2022
3715,,Extreme E,Rosberg X Racing #6,2022
3733,,Extreme E,Chip Ganassi Racing GMC Hummer EV #99,2022
3836,,Fast and Furious,Dodge Charger SRT Hellcat Redeye Widebody,2022
3838,,Fast and Furious,Flip Car 2.0,2022
3832,,Fast and Furious,Datsun 240Z,1973
3837,,Fast and Furious,Dodge Charger,1970
3835,,Fast and Furious,Chevrolet Impala Super Sport,1966
3724,,Ferrari,296 GTB,2022
3594,,Ferrari,Roma,2020
3595,,Ferrari,SF90 Stradale,2020
3227,,Ferrari,488 Pista,2019
2972,,Ferrari,Risi Competitizione 488 GTE #62,2019
3367,,Ferrari,F8 Tributo,2019
3312,,Ferrari,Monza SP2,2019
3311,,Ferrari,FXX-K EVO,2018
3225,,Ferrari,Portofino,2018
3112,,Ferrari,Corse Clienti 488 Challenge #25,2017
2974,,Ferrari,812 Superfast,2017
3122,,Ferrari,GTC4Lusso,2017
3226,,Ferrari,J50,2017
2467,,Ferrari,488 GTB,2015
2577,,Ferrari,F12tdf,2015
2194,,Ferrari,California T,2014
2371,,Ferrari,FXX K,2014
2184,,Ferrari,458 Speciale,2013
2034,,Ferrari,LaFerrari,2013
2908,,Ferrari,599XX Evoluzione,2012
1319,,Ferrari,599 GTO,2010
1171,,Ferrari,599XX,2010
1131,,Ferrari,458 Italia,2009
1022,,Ferrari,430 Scuderia,2007
1006,,Ferrari,FXX,2005
297,,Ferrari,360 Challenge Stradale,2003
257,,Ferrari,575M Maranello,2002
333,,Ferrari,Enzo Ferrari,2002
1020,,Ferrari,F50 GT,1996
342,,Ferrari,F50,1995
253,,Ferrari,F355 Berlinetta,1994
255,,Ferrari,512 TR,1992
1023,,Ferrari,F40 Competizione,1989
340,,Ferrari,F40,1987
358,,Ferrari,288 GTO,1984
3062,,Ferrari,512 S,1970
326,,Ferrari,Dino 246 GT,1969
1318,,Ferrari,365 GTB/4,1968
2793,,Ferrari,Ferrari Spa 330 P4 #24,1967
1578,,Ferrari,250 GT Berlinetta Lusso,1962
249,,Ferrari,250 GTO,1962
1271,,Ferrari,250 California,1957
1154,,Ferrari,250 Testa Rossa,1957
2195,,FIAT,124 Sport Spider,1980
1615,,FIAT,Dino 2.4 Coupe,1969
3847,,Ford,Mustang Dark Horse,2024
3846,,Ford,Mustang GT,2024
3849,,Ford,F-150 Raptor R,2023
3903,,Ford,Fiesta ST,2023
3736,,Ford,Bronco Raptor,2022
3692,,Ford,F-150 Lightning Platinum,2022
3904,,Ford,Focus ST,2022
3755,,Ford,Supervan 4,2022
3489,,Ford,Bronco,2021
3598,,Ford,Mustang Mach-E 1400,2021
3404,,Ford,Performance Bronco R #2069,2020
3684,,Ford,Performance Bronco R Welcome Pack #2069,2020
3277,,Ford,Mustang Shelby GT500,2020
3476,,Ford,Super Duty F-450 DRW Platinum,2020
3174,,Ford,Ranger Raptor,2019
3093,,Ford,Mustang RTR #25,2018
3151,,Ford,Mustang RTR #88,2018
3046,,Ford,Mustang GT,2018
3108,,Ford,Mustang RTR Spec 5,2018
2937,,Ford,Rahal Letterman Lanigan Racing GRC Fiesta #14,2017
3128,,Ford,Brocky Ultra4 Bronco RTR #25,2017
2397,,Ford,F-150 Raptor,2017
2357,,Ford,Focus RS,2017
3699,,Ford,GT OPI Edition,2017
2363,,Ford,GT,2017
3051,,Ford,M-Sport Fiesta RS,2017
2543,,Ford,Ford Racing GTLM Le Mans #66,2016
2400,,Ford,Shelby GT350R,2016
2580,,Ford,Falcon GT F 351,2015
2517,,Ford,Rockstar F-150 Trophy Truck #11,2014
2011,,Ford,Fiesta ST,2014
2551,,Ford,FPV Limited Edition Pursuit Ute,2014
2145,,Ford,Ranger T6 Rally Raid,2014
1654,,Ford,Shelby GT500,2013
1460,,Ford,Transit SuperSportVan,2011
2649,,Ford,Crown Victoria Police Interceptor,2010
1086,,Ford,Focus RS,2009
348,,Ford,GT,2005
3190,,Ford,F-150 SVT Lightning,2003
2019,,Ford,Focus RS,2003
3199,,Ford,Mustang SVT Cobra,2003
3670,,Ford,Focus RS #4,2001
405,,Ford,SVT Cobra R,2000
3228,,Ford,Racing Puma,1999
3564,,Ford,Racing Puma Forza Edition,1999
1510,,Ford,Mustang SVT Cobra R,1995
3170,,Ford,Supervan 3,1994
9007,,Ford,Supervan 3 Donut Media Edition,1994
1041,,Ford,SVT Cobra R,1993
1272,,Ford,Escort RS Cosworth,1992
1293,,Ford,Sierra Cosworth RS500,1987
2981,,Ford,Escort RS Turbo,1986
3597,,Ford,F-150 XLT Lariat,1986
3181,,Ford,Mustang SVO,1986
1108,,Ford,RS200 Evolution,1985
2158,,Ford,Fiesta XR2,1981
3184,,Ford,Escort RS1800 MkII #5,1977
1302,,Ford,Escort RS1800,1977
2187,,Ford,Bronco,1975
1529,,Ford,Capri RS3100,1973
1580,,Ford,Escort RS1600,1973
1278,,Ford,XB Falcon GT,1973
2585,,Ford,Falcon XA GT-HO,1972
1320,,Ford,Mustang Mach 1,1971
3167,,Ford,GT70,1970
1668,,Ford,Mustang Boss 302,1969
2614,,Ford,Mustang GT 2+2 Fastback,1968
3183,,Ford,Racing Escort Mk1,1967
2792,,Ford,GT40 MkII #2,1966
1486,,Ford,Lotus Cortina,1966
1355,,Ford,Mustang GT Coupe,1965
3126,,Ford,Transit,1965
2980,,Ford,GT40 Mk I,1964
2979,,Ford,Anglia 105E,1959
1581,,Ford,F-100,1956
2504,,Ford,Super Deluxe Station Wagon,1946
1530,,Ford,De Luxe Coupe,1940
2372,,Ford,De Luxe Five-Window Coupe,1932
2930,,Ford,De Luxe Five-Window Coupe Forza Edition,1932
3744,,Formula Drift,Forsberg Racing Nissan Z #64,2023
3523,,Formula Drift,Toyota GR Supra #151,2020
3551,,Formula Drift,BMW M2 #91,2020
3524,,Formula Drift,Toyota Corolla Hatchback #411,2019
3247,,Formula Drift,Nissan 370Z #64,2018
3446,,Formula Drift,Chevrolet Corvette Z06 #357,2017
2997,,Formula Drift,HSV Maloo Gen-F #530,2016
2996,,Formula Drift,Ford Mustang #13,2015
3232,,Formula Drift,Chevrolet Corvette #777,2013
3400,,Formula Drift,Mazda RX-8 #99,2009
3249,,Formula Drift,599 GTB Fiorano #117,2007
3003,,Formula Drift,Dodge Viper SRT10 #43,2006
3000,,Formula Drift,Nissan 240SX #777,1997
3741,,Formula Drift,Donut Media Nissan 240SX #51,1996
3411,,Formula Drift,Toyota Supra MKIV #34,1995
3037,,Formula Drift,BMW 325i #98,1989
3530,,Forsberg Racing,Nissan Altimaniac,2021
3531,,Forsberg Racing,Nissan SafariZ 370Z,2014
3528,,Forsberg Racing,Toyota Gumout 2JZ Camry Stock Car,2010
3529,,Forsberg Racing,Nissan Gold Leader Datsun 280Z,1975
2935,,Funco Motorsports,F9,2018
3428,,Ginetta,G10 RM,2019
3809,,GMC,Barbie Movie HUMMER EV PICKUP,2022
3722,,GMC,HUMMER EV Pickup,2022
1394,,GMC,Typhoon,1992
1294,,GMC,Syclone,1991
1531,,GMC,Vandura G-1500,1983
2613,,GMC,K5 Jimmy,1970
3599,,Gordon Murray Automotive,T.50,2022
2584,,HDT,VK Commodore Group A,1985
3740,,Hennessey,Mammoth 6x6,2022
3600,,Hennessey,Venom F5,2021
3284,,Hennessey,Camaro Exorcist,2019
3189,,Hennessey,VelociRaptor 6x6,2019
1599,,Hennessey,Venom GT,2012
1533,,Holden,Torana A9X,1977
2510,,Holden,Sandman HQ panel van,1974
2417,,Holden,HQ Monaro GTS 350,1973
2870,,Honda,Civic Type R,2018
3069,,Honda,Civic Coupe,2016
2163,,Honda,Civic Type R,2016
2745,,Honda,Ridgeline Baja Trophy Truck,2015
2005,,Honda,S2000 CR,2009
625,,Honda,Civic Type-R,2007
569,,Honda,NSX-R GT,2005
